Date,City,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,AQI
2023-03-17,Mumbai,293,243,59,25,1.08,21,34,63,0.53,210.0
2023-03-18,Delhi,156,56,10,7,1.95,24,36,89,3.41,102.0
2023-03-19,Chennai,13,287,96,67,0.97,68,16,37,4.54,121.0
2023-03-20,Chennai,44,388,85,76,1.16,35,14,41,1.6,161.0
2023-03-21,Chennai,201,202,73,5,1.74,114,40,56,4.67,177.0
2023-03-22,Bangalore,58,32,99,7,1.12,118,32,75,0.77,66.0
2023-03-23,Delhi,26,298,9,52,0.45,35,19,78,4.7,111.0
2023-03-24,Bangalore,181,236,7,63,0.67,56,41,22,2.08,159.0
2023-03-25,Bangalore,229,374,57,58,0.69,41,39,47,0.96,223.0
2023-03-26,Delhi,167,380,27,67,0.85,19,40,54,2.69,197.0
2023-03-27,Delhi,55,305,57,76,0.91,25,27,80,1.66,135.0
2023-03-28,Delhi,15,292,41,9,1.62,80,11,73,1.78,122.0
2023-03-29,Delhi,108,388,78,27,0.76,26,23,82,1.88,179.0
2023-03-30,Chennai,242,81,78,52,0.99,32,22,26,4.11,145.0
2023-03-31,Kolkata,46,103,87,46,1.29,35,38,68,2.93,77.0
2023-04-01,Kolkata,289,387,21,45,0.82,94,21,50,1.9,254.0
2023-04-02,Delhi,190,236,89,6,1.69,95,11,77,3.25,182.0
2023-04-03,Kolkata,104,361,82,71,1.22,16,41,80,3.72,175.0
2023-04-04,Kolkata,108,206,77,27,0.66,23,22,43,1.73,123.0
2023-04-05,Delhi,197,38,5,69,1.46,88,36,39,2.36,118.0
2023-04-06,Kolkata,125,196,55,20,1.1,16,26,56,1.05,128.0
2023-04-07,Bangalore,200,119,49,21,1.12,18,40,23,1.32,135.0
2023-04-08,Mumbai,262,252,81,13,1.01,57,43,39,3.57,205.0
2023-04-09,Mumbai,170,95,8,48,1.04,81,33,79,1.32,118.0
2023-04-10,Delhi,265,284,66,2,1.55,68,44,43,2.86,220.0
2023-04-11,Chennai,137,303,69,15,0.3,96,15,69,3.69,166.0
2023-04-12,Delhi,27,225,36,65,0.74,102,28,68,0.98,103.0
2023-04-13,Chennai,290,242,38,39,0.24,91,39,70,3.05,206.0
2023-04-14,Mumbai,232,71,96,38,1.53,104,16,55,1.65,151.0
2023-04-15,Delhi,63,358,99,12,0.62,103,19,85,4.83,160.0
2023-04-16,Bangalore,67,386,76,78,1.81,48,41,53,2.68,177.0
2023-04-17,Kolkata,183,163,43,4,1.1,108,43,55,4.13,148.0
2023-04-18,Chennai,289,392,30,34,1.62,27,37,25,2.98,257.0
2023-04-19,Kolkata,123,88,38,7,1.96,68,24,58,0.7,106.0
2023-04-20,Kolkata,297,118,58,51,1.7,115,39,61,3.35,191.0
2023-04-21,Delhi,160,44,7,11,1.75,112,38,77,4.78,107.0
2023-04-22,Kolkata,136,398,54,6,0.88,26,31,31,3.21,191.0
2023-04-23,Bangalore,164,72,16,24,1.15,23,13,22,4.19,104.0
2023-04-24,Kolkata,282,170,69,11,0.58,40,29,37,4.48,181.0
2023-04-25,Delhi,113,163,58,45,0.47,33,41,59,1.53,110.0
2023-04-26,Bangalore,255,76,9,3,1.06,108,13,40,1.45,147.0
2023-04-27,Mumbai,185,58,98,14,1.23,117,36,34,3.25,126.0
2023-04-28,Kolkata,48,128,98,41,0.74,69,26,45,2.35,84.0
2023-04-29,Delhi,179,200,61,3,1.18,54,21,27,4.28,155.0
2023-04-30,Mumbai,256,61,21,66,1.79,107,31,61,4.55,155.0
2023-05-01,Mumbai,35,205,51,64,1.16,12,26,63,2.09,97.0
2023-05-02,Chennai,22,242,27,74,1.47,46,19,33,1.57,107.0
2023-05-03,Bangalore,45,141,83,18,1.63,52,10,21,4.01,91.0
2023-05-04,Kolkata,182,152,89,10,1.98,49,31,56,1.74,153.0
2023-05-05,Delhi,29,182,18,76,1.25,99,35,88,4.2,94.0
2023-05-06,Chennai,273,234,70,16,1.63,64,27,57,2.41,210.0
2023-05-07,Bangalore,151,240,79,25,1.93,96,23,60,3.5,170.0
2023-05-08,Chennai,152,254,55,39,1.89,117,38,81,0.93,175.0
2023-05-09,Bangalore,101,350,42,36,0.37,48,21,79,3.31,160.0
2023-05-10,Bangalore,297,165,68,50,0.87,24,44,33,2.53,189.0
2023-05-11,Kolkata,224,258,42,70,0.72,13,21,21,3.14,183.0
2023-05-12,Bangalore,60,95,54,63,0.27,102,16,89,1.26,74.0
2023-05-13,Chennai,162,28,86,61,1.3,95,38,36,3.82,107.0
2023-05-14,Bangalore,195,93,34,51,1.5,34,20,47,4.38,130.0
2023-05-15,Kolkata,72,272,83,79,1.71,22,42,85,1.48,142.0
2023-05-16,Kolkata,199,249,95,76,0.33,91,15,54,0.93,180.0
2023-05-17,Chennai,134,26,55,10,1.77,42,24,24,0.61,89.0
2023-05-18,Mumbai,159,193,67,35,1.32,25,41,84,3.39,146.0
2023-05-19,Mumbai,67,160,56,77,1.44,118,20,59,3.23,110.0
2023-05-20,Bangalore,189,187,42,36,1.83,51,32,75,2.96,161.0
2023-05-21,Delhi,179,189,92,2,1.29,117,35,55,1.54,162.0
2023-05-22,Bangalore,280,302,83,41,0.74,75,43,64,2.26,228.0
2023-05-23,Chennai,63,141,34,65,1.67,64,43,42,3.18,97.0
2023-05-24,Chennai,110,213,55,23,0.79,108,38,66,2.74,133.0
2023-05-25,Chennai,273,24,85,61,0.17,51,13,50,4.95,135.0
2023-05-26,Chennai,62,48,9,65,1.68,43,26,30,1.11,64.0
2023-05-27,Chennai,69,184,33,73,0.76,39,44,29,3.63,101.0
2023-05-28,Kolkata,117,358,8,12,1.57,22,22,86,2.32,173.0
2023-05-29,Mumbai,14,155,14,15,0.79,22,24,33,2.43,64.0
2023-05-30,Chennai,112,384,60,61,1.74,27,38,29,3.73,189.0
2023-05-31,Delhi,205,340,21,31,0.52,41,38,20,3.62,197.0
2023-06-01,Delhi,271,361,78,36,1.95,105,20,24,4.96,256.0
2023-06-02,Delhi,56,164,21,38,1.58,108,41,39,1.08,102.0
2023-06-03,Delhi,153,346,88,6,0.32,48,11,27,0.97,182.0
2023-06-04,Kolkata,278,236,92,79,1.17,55,23,62,3.76,212.0
2023-06-05,Delhi,133,320,73,27,1.97,38,29,20,3.1,181.0
2023-06-06,Chennai,115,151,38,63,1.0,71,31,76,1.73,115.0
2023-06-07,Bangalore,167,311,10,5,0.45,102,20,83,0.86,176.0
2023-06-08,Delhi,156,89,57,43,1.02,71,36,47,0.89,114.0
2023-06-09,Kolkata,154,271,70,19,1.07,117,12,56,4.52,173.0
2023-06-10,Kolkata,129,294,81,41,1.51,66,26,66,1.36,172.0
2023-06-11,Delhi,284,383,47,73,1.43,25,37,56,1.96,254.0
2023-06-12,Bangalore,101,201,79,40,0.86,65,38,68,1.52,126.0
2023-06-13,Delhi,67,186,27,15,0.51,117,30,63,2.1,103.0
2023-06-14,Kolkata,238,110,59,33,1.33,19,25,75,0.81,151.0
2023-06-15,Mumbai,126,221,84,52,0.9,39,29,47,2.84,141.0
2023-06-16,Chennai,288,365,99,39,0.35,34,15,25,0.8,243.0
2023-06-17,Kolkata,136,38,79,24,1.81,112,28,80,4.1,104.0
2023-06-18,Delhi,138,58,20,64,1.41,93,14,39,1.55,101.0
2023-06-19,Chennai,67,145,12,16,1.4,14,12,21,2.93,88.0
2023-06-20,Delhi,131,192,8,26,1.66,74,10,56,4.46,136.0
2023-06-21,Delhi,10,160,8,18,1.11,103,24,39,3.43,75.0
2023-06-22,Mumbai,248,261,60,67,1.65,58,43,45,2.9,209.0
2023-06-23,Chennai,299,239,29,79,1.05,12,44,48,1.96,210.0
2023-06-24,Chennai,105,145,71,54,0.23,54,34,20,2.0,103.0
2023-06-25,Mumbai,135,77,71,52,0.87,23,33,54,3.51,98.0
2023-06-26,Kolkata,127,167,31,40,1.05,39,21,89,4.97,120.0
2023-06-27,Delhi,57,336,97,52,1.47,77,27,78,3.48,158.0
2023-06-28,Bangalore,98,380,36,71,0.3,27,24,88,3.01,166.0
2023-06-29,Delhi,246,20,54,7,0.37,71,25,52,3.79,121.0
2023-06-30,Delhi,281,367,65,68,0.6,46,36,70,2.59,243.0
2023-07-01,Kolkata,198,209,55,8,0.61,34,17,31,0.77,157.0
2023-07-02,Delhi,201,210,23,52,1.49,57,34,39,3.03,169.0
2023-07-03,Mumbai,78,388,25,73,0.58,74,26,72,4.81,167.0
2023-07-04,Mumbai,287,331,9,43,1.3,62,38,62,1.29,236.0
2023-07-05,Chennai,256,136,86,65,1.04,119,17,69,3.61,177.0
2023-07-06,Bangalore,85,153,96,16,1.19,88,24,48,1.4,111.0
2023-07-07,Delhi,163,77,46,30,1.69,82,36,76,2.91,119.0
2023-07-08,Delhi,153,63,65,34,0.87,24,16,58,0.94,99.0
2023-07-09,Kolkata,95,192,26,28,1.56,58,12,75,2.53,121.0
2023-07-10,Mumbai,194,179,25,37,0.9,97,38,62,3.9,154.0
2023-07-11,Bangalore,294,192,74,30,0.77,77,33,69,2.06,199.0
2023-07-12,Chennai,229,336,5,39,1.92,21,12,42,3.49,216.0
2023-07-13,Mumbai,78,322,9,58,0.45,68,29,63,4.08,143.0
2023-07-14,Chennai,56,168,16,28,0.27,46,24,57,4.67,83.0
2023-07-15,Kolkata,103,99,94,56,1.56,70,34,42,1.56,106.0
2023-07-16,Kolkata,247,393,50,34,0.23,110,39,64,2.3,237.0
2023-07-17,Delhi,213,232,38,69,1.69,52,23,71,1.19,184.0
2023-07-18,Bangalore,227,222,53,67,0.93,79,16,69,4.97,183.0
2023-07-19,Chennai,48,271,82,11,1.84,48,26,27,4.67,132.0
